Supplement,Overview,SideEffects,Precautions,Dosing
Evening Primrose Oil,evening primrose (oenothera biennis) is a plant native to the americas. its yellow flowers open at sunset. the oil in its seeds contains omega-6 fatty acids.  evening primrose oil contains gamma-linolenic acid (gla). gla is an omega-6 essential fatty acid that has anti-inflammatory effects in the body.  people use evening primrose oil for premenstrual syndrome (pms)  menopause symptoms  arthritis  high cholesterol  acne  and many other conditions  but there is no good scientific evidence to support these uses.  don't confuse evening primrose oil with other plants or oils that are sources of gla and omega-6 fatty acids  such as black currant  borage  and flaxseed oil.,when taken by mouth: evening primrose oil is likely safe for most people when taken in doses up to 6 grams daily for up to 1 year. it might cause mild side effects including upset stomach  nausea  diarrhea  and headache in some people. there isn't enough reliable information to know if other parts of the evening primrose plant are safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if evening primrose is safe or what the side effects might be.,when taken by mouth: evening primrose oil is likely safe for most people when taken in doses up to 6 grams daily for up to 1 year. it might cause mild side effects including upset stomach  nausea  diarrhea  and headache in some people. there isn't enough reliable information to know if other parts of the evening primrose plant are safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if evening primrose is safe or what the side effects might be. pregnancy: taking evening primrose oil by mouth is possibly safe during pregnancy. taking up to 4 grams by mouth daily for up to 10 weeks seems to be safe. but until this is confirmed  be cautious. taking evening primrose oil during the last weeks of pregnancy might delay labor. don't use this product close to the end of pregnancy.  breast-feeding: it is possibly safe to take evening primrose oil while breast-feeding  but it's best to check with your healthcare provider first.  children: evening primrose oil is possibly safe when taken by mouth in doses up to 6 grams daily. it is also possibly safe when applied to the skin.  bleeding disorders: evening primrose oil might increase the chance of bruising and bleeding. don't use it if you have a bleeding disorder.  epilepsy or another seizure disorder: evening primrose oil might make seizures more likely in some people.  surgery: evening primrose oil might increase the chance of bleeding during or after surgery. stop using it at least 2 weeks before a scheduled surgery.,evening primrose oil has most often been used by adults in doses of 2-6 grams by mouth daily for 3-12 months. speak with a healthcare provider to find out what dose might be best for a specific condition.
Evodia,evodia (evodia rutaecarpa) is a tree native to china and korea. the fruit has a bitter taste and is commonly used in traditional chinese medicine (tcm).  chemicals in evodia might have many effects in the body  such as reducing pain  swelling  diarrhea  and blood pressure  and stimulating the heart.  people use evodia for diarrhea  vomiting  stomach pain  and many other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: there isn't enough reliable information to know if evodia is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if evodia is safe or what the side effects might be. pregnancy: evodia is possibly unsafe to use while pregnant. it contains some chemicals that affect pregnant animals. these chemicals cause the animals' uterus to contract and also seem to reduce the size of the litter. it's not known if evodia affects pregnancy in humans  but it's best to stay on the safe side and avoid use.  breast-feeding: there isn't enough reliable information to know if evodia is safe to use when breast-feeding. stay on the safe side and avoid use.  irregular heartbeat: evodia might make an irregular heartbeat worse. don't use evodia if you have this condition.  surgery: evodia seems to slow blood clotting. this might increase the risk of bleeding during and after surgery. stop using evodia at least 2 weeks before a scheduled surgery.,there isn't enough reliable information to know what an appropriate dose of evodia might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Eyebright,eyebright (euphrasia rostkoviana) is an herb with small white or red flowers. it's traditionally used as medicine in europe.  eyebright contains chemicals that might reduce inflammation and kill bacteria.  people use eyebright for hay fever  eye strain  common cold  cancer  cough  and many other conditions  but there is no good scientific evidence to support these uses.  don't confuse eyebright with clary sage  which is sometimes called clear eye. these are not the same.,when taken by mouth: eyebright is commonly consumed in foods. it's used as a food flavoring in europe. but there isn't enough reliable information to know if eyebright is safe when used in larger amounts as medicine. side effects might include headache  nausea  and constipation.  when applied into the eye: eyebright is possibly unsafe. it can be contaminated and cause eye infections. it might also cause tearing  itching  redness  vision problems  and other side effects.,when taken by mouth: eyebright is commonly consumed in foods. it's used as a food flavoring in europe. but there isn't enough reliable information to know if eyebright is safe when used in larger amounts as medicine. side effects might include headache  nausea  and constipation.  when applied into the eye: eyebright is possibly unsafe. it can be contaminated and cause eye infections. it might also cause tearing  itching  redness  vision problems  and other side effects.  pregnancy and breast-feeding: there isn't enough reliable information to know if eyebright is safe to use when pregnant or breastfeeding. stay on the safe side and avoid use.  surgery: eyebright might lower blood sugar in some people. this might interfere with blood sugar control during and after surgery. stop using eyebright at least 2 weeks before a scheduled surgery.,traditionally  eyebright is used dried and as a tea. but as medicine  there isn't enough reliable information to know what an appropriate dose of eyebright might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Fadogia Agrestis,fadogia agrestis is a shrub from nigeria. the stem has been used to make medicine.  some people claim that fadogia agrestis can increase testosterone levels  which could help with sexual performance and athletic performance. but this claim isn't supported by research.  people use fadogia agrestis for erectile dysfunction (ed)  athletic performance  and other purposes  but there is no good scientific evidence to support any use.,when taken by mouth: there isn't enough reliable information to know if fadogia agrestis is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if fadogia agrestis is safe or what the side effects might be.  pregnancy and breast-feeding: there isn't enough reliable information to know if fadogia agrestis is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,there isn't enough reliable information to know what an appropriate dose of fadogia agrestis might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
False Unicorn,false unicorn is an herb. the underground stem (rhizome) and root are used to make medicine.  women use false unicorn for treating ovarian cysts  menstrual problems  menopausal symptoms  vomiting from pregnancy  and infertility. some women take it to normalize hormones after discontinuing birth control pills.  false unicorn is also used to treat digestive problems and to relieve water retention by increasing urine flow. some people also use it to rid the intestines of worms.,there is not enough information to know if false unicorn is safe when used as a medicine. large doses can cause nausea and vomiting.,there is not enough information to know if false unicorn is safe when used as a medicine. large doses can cause nausea and vomiting. pregnancy and breast-feeding: it's unsafe to use false unicorn if you are pregnant. it might cause uterine contractions and threaten the pregnancy.  not enough is known about the safety of using false unicorn during breast-feeding. stay on the safe side and avoid use.  stomach or intestinal disorders (gastrointestinal disorders): false unicorn can irritate the stomach and intestines. don't use it if you have any problems with your stomach or intestines.,the appropriate dose of false unicorn depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for false unicorn. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Fennel,fennel (foeniculum vulgare) is an herb with yellow flowers. the dried seeds are used in food. the dried seeds and oil are also used as medicine.  fennel is native to the mediterranean  but is now found throughout the world. as medicine  it might relax the colon  and also appears to contain an ingredient that may act like estrogen in the body. as a spice  fennel has an anise-like taste.  people use fennel for menstrual cramps. it is also used for excessive crying in infants (colic)  indigestion  and symptoms of menopause  but there is no good scientific evidence to support most of these uses.,when taken by mouth: fennel is commonly consumed in foods. it is possibly safe when used as medicine at appropriate doses for a short period of time. there isn't enough reliable information to know whether fennel is safe when used long-term. although rare  side effects might include stomach upset and seizures.  when applied to the skin: fennel is possibly safe. fennel can make skin extra sensitive to the sun and make it easier to get a sunburn. wear sunblock if you are light-skinned.,when taken by mouth: fennel is commonly consumed in foods. it is possibly safe when used as medicine at appropriate doses for a short period of time. there isn't enough reliable information to know whether fennel is safe when used long-term. although rare  side effects might include stomach upset and seizures.  when applied to the skin: fennel is possibly safe. fennel can make skin extra sensitive to the sun and make it easier to get a sunburn. wear sunblock if you are light-skinned. pregnancy: fennel is possibly unsafe to use when pregnant. regularly using fennel has been linked to preterm birth.  breast-feeding: fennel is possibly unsafe. there are some reports of breast-feeding infants with damage to their nervous systems after they were exposed to herbal tea containing fennel through breastmilk.  children: fennel is possibly safe when used at appropriate doses for up to one week in young infants with colic.  allergy to celery  carrot or mugwort: fennel might cause an allergic reaction in people who are sensitive to these plants.  bleeding disorders: fennel might slow blood clotting. taking fennel might increase the risk of bleeding or bruising in people with bleeding disorders.  hormone-sensitive condition such as breast cancer  uterine cancer  ovarian cancer  endometriosis  or uterine fibroids: fennel might act like estrogen. if you have any condition that might be made worse by estrogen  do not use fennel.,fennel is available in many different types of products  including essential oils  seed extracts  seed powders  teas  and creams. there isn't enough reliable information to know what an appropriate dose of fennel might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Fenugreek,fenugreek (trigonella foenum-graecum) is an herb similar to clover. the seeds taste similar to maple syrup and are used in foods and medicine.  fenugreek is native to the mediterranean  europe  and asia. fenugreek seems to slow sugar absorption in the stomach and stimulate insulin. both of these effects lower blood sugar in people with diabetes. fenugreek might also improve levels of testosterone and estrogen  helping to improve interest in sex.  people commonly use fenugreek for diabetes  menstrual cramps  sexual problems  enlarged prostate  high cholesterol  obesity  and many other conditions  but there is no good scientific evidence to support most of these uses.,when taken by mouth: fenugreek is commonly consumed in foods. it is possibly safe when the powdered seed is taken for up to 3 years. side effects may include diarrhea  stomach upset  bloating  and gas. it may also cause allergic reactions in some people.,"when taken by mouth: fenugreek is commonly consumed in foods. it is possibly safe when the powdered seed is taken for up to 3 years. side effects may include diarrhea  stomach upset  bloating  and gas. it may also cause allergic reactions in some people. pregnancy: fenugreek is commonly consumed in foods. it is likely unsafe when used in greater amounts. it might cause malformations in the baby  as well as early contractions. taking fenugreek just before delivery may cause the newborn to have an unusual body odor. this unusual body odor doesn't seem to be harmful  but it could be confused with a condition called ""maple syrup urine disease.""  breast-feeding: fenugreek is possibly safe when taken by mouth to increase breastmilk flow. taking fenugreek 1725 mg three times daily for 21 days doesn't seem to cause any side effects in infants.  children: fenugreek is commonly consumed in foods. but there isn't enough reliable information to know if fenugreek is safe when taken in larger amounts. an unusual body and urine odor has been reported after drinking fenugreek tea. this doesn't seem to be harmful  but it could be confused with a condition called ""maple syrup urine disease.""  allergies: people who are allergic to other plants in the fabaceae family  including soybeans  peanuts  green peas  and other legumes  might also be allergic to fenugreek.  surgery: fenugreek might slow blood clotting. it might cause extra bleeding during and after surgery. stop taking fenugreek at least 2 weeks before a scheduled surgery.",fenugreek seed powder has most often been used by adults in doses of 5-10 grams by mouth daily for up to 3 years. fenugreek seed extract has most often been used in doses of 0.6-1.2 grams by mouth daily. speak with a healthcare provider to find out what dose might be best for a specific condition.
Fermented Milk,fermented milk is made when milk is allowed to ferment with lactic acid bacteria  such as lactobacilli. this makes it easier for some people to digest.  fermentation breaks down milk proteins and lactose. this benefits people with milk protein allergies and lactose intolerance. fermentation also increases how long milk products will last on the shelf.  people use fermented milk for common cold  diarrhea from antibiotics  eczema  high blood pressure  high cholesterol  irritable bowel syndrome (ibs)  and lactose intolerance. it is also used for asthma  constipation  hay fever  stomach ulcers  and many other conditions  but there is no good scientific evidence to support most of these uses.  don't confuse fermented milk with other fermented dairy products  such as kefir and yogurt. these are not the same.,when taken by mouth: fermented milk is commonly consumed in foods. as medicine  fermented milk is possibly safe when used for up to one year. side effects might include stomach pain  bloating  diarrhea  gas  and constipation.  when applied to the skin: there isn't enough reliable information to know if fermented milk is safe or what the side effects might be.,when taken by mouth: fermented milk is commonly consumed in foods. as medicine  fermented milk is possibly safe when used for up to one year. side effects might include stomach pain  bloating  diarrhea  gas  and constipation.  when applied to the skin: there isn't enough reliable information to know if fermented milk is safe or what the side effects might be.  pregnancy and breast-feeding: fermented milk is commonly consumed in foods. but there isn't enough reliable information to know if it is safe to use in larger amounts as medicine while pregnant or breast-feeding. stay on the safe side and stick to food amounts.  children: fermented milk is commonly consumed in foods. it is possibly safe when taken by mouth in larger amounts as medicine for up to 5 days.  weakened immune system: some fermented milk products contain live bacteria. this bacteria might grow too well in people whose immune systems are weakened. to be on the safe side  if you have a weakened immune system  talk with your healthcare provider before taking fermented milk products.,fermented milk products are commonly consumed in foods. they often contain live bacteria  such as lactobacillus. as medicine  fermented milk has most often been used by adults in doses from 100-300 ml by mouth daily for up to 12 weeks. in children  it's most often been used in doses of 100 ml by mouth daily for up to 12 months. speak with a healthcare provider to find out what type of product and dose might be best for a specific condition.
Fermented Wheat Germ Extract,fermented wheat germ extract is made by fermenting extract of wheat germ with yeast. wheat germ is the nutrient-rich embryo of the wheat kernel.  fermented wheat germ extract contains chemicals that are thought to help treat cancer. it also has antioxidant effects.  people use fermented wheat germ extract for colon and rectal cancer  skin cancer  prostate cancer  rheumatoid arthritis (ra)  and many other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: fermented wheat germ extract is possibly safe. a specific wheat germ extract (avemar) has been used safely in doses of 8.5-9 grams once or twice daily for up to 1 year. it's usually well-tolerated. side effects might include diarrhea or nausea.  when applied to the skin: there isn't enough reliable information to know if fermented wheat germ extract is safe or what the side effects might be.,when taken by mouth: fermented wheat germ extract is possibly safe. a specific wheat germ extract (avemar) has been used safely in doses of 8.5-9 grams once or twice daily for up to 1 year. it's usually well-tolerated. side effects might include diarrhea or nausea.  when applied to the skin: there isn't enough reliable information to know if fermented wheat germ extract is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if fermented wheat germ extract is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  children: fermented wheat germ extract is possibly safe when taken by mouth. a specific wheat germ extract (avemar) has been used safely for about 29 months.  organ transplant recipients: fermented wheat germ extract might increase the immune system. this might increase the risk of organ transplant rejection. if you have received an organ transplant  don't use fermented wheat germ extract until more is known.,a specific wheat germ extract (avemar) has most often been used by adults in doses of 8.5-9 grams by mouth once or twice daily for up to 1 year. speak with a healthcare provider to find out what dose might be best for a specific condition.
Fever Bark,fever bark is the bark of an evergreen tree called alstonia constricta. the tree is native to australia and grows to 15 meters tall.  fever bark contains the chemicals yohimbine and reserpine  which can lower blood pressure. these chemicals might also be unsafe.  people use fever bark for high blood pressure  malaria  rheumatoid arthritis (ra)  and many other conditions  but there is no good scientific evidence to support these uses.  don't confuse fever bark with cinchona  which is sometimes called fever bark or fever tree. these are not the same.,when taken by mouth: fever bark is possibly unsafe. it contains the chemicals yohimbine and reserpine  which can cause serious side effects  including depression  psychotic reactions  and heart failure.,when taken by mouth: fever bark is possibly unsafe. it contains the chemicals yohimbine and reserpine  which can cause serious side effects  including depression  psychotic reactions  and heart failure.  pregnancy and breast-feeding: there isn't enough reliable information to know if fever bark is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  anxiety: a chemical in fever bark might make anxiety worse.  depression: a chemical in fever bark might make depression worse.  stomach ulcers: some of the chemicals in fever bark might make stomach ulcers worse.  schizophrenia: some of the chemicals in fever bark might cause a psychotic episode.  surgery: some chemicals in fever bark act like stimulants and might increase the risk of bleeding. fever bark might interfere with surgery by increasing heart rate  blood pressure  and bleeding risk. stop using fever bark at least 2 weeks before a scheduled surgery.,there isn't enough reliable information to know what an appropriate dose of fever bark might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Feverfew,feverfew (tanacetum parthenium) is a plant native to asia minor and the balkans. feverfew dried leaves  fresh leaves  and extracts are used in medicine.  feverfew leaves contain many different chemicals  including one called parthenolide. parthenolide  as well as other chemicals in feverfew  might help decrease migraine headaches.  people most commonly use feverfew for migraine headaches. people also use feverfew for itching  tension headache  and many other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: dried feverfew leaf or feverfew extract is likely safe when taken for up to 4 months. side effects might include upset stomach  heartburn  diarrhea  constipation  bloating  and vomiting.  chewing the fresh leaves of feverfew is possibly unsafe. it can cause mouth sores  swelling of the mouth  and loss of taste.,when taken by mouth: dried feverfew leaf or feverfew extract is likely safe when taken for up to 4 months. side effects might include upset stomach  heartburn  diarrhea  constipation  bloating  and vomiting.  chewing the fresh leaves of feverfew is possibly unsafe. it can cause mouth sores  swelling of the mouth  and loss of taste. pregnancy: feverfew is possibly unsafe when taken by mouth during pregnancy. there is concern that it might cause early contractions and miscarriage. don't use feverfew if you are pregnant.  breast-feeding: there isn't enough reliable information to know if feverfew is safe to use when breast-feeding. stay on the safe side and avoid use.  bleeding disorders: feverfew might slow blood clotting. taking feverfew could increase the risk of bleeding in some people. until more is known  use feverfew cautiously if you have a bleeding disorder.  allergy to ragweed and related plants: feverfew might cause an allergic reaction in people who are sensitive to the asteraceae/compositae plant family. this includes ragweed  chrysanthemums  marigolds  daisies  and many others. if you have allergies  be sure to check with your healthcare provider before taking feverfew.  surgery: feverfew might slow blood clotting. it might cause bleeding during and after surgery. stop taking feverfew at least 2 weeks before a scheduled surgery.,feverfew has most often been used by adults in doses of 50-150 mg by mouth daily for up to 4 months. speak with a healthcare provider to find out what dose might be best for a specific condition.
Ficin,crude ficin is a latex from the trunk of a tropical fig tree. purified ficin is an enzyme from the latex. crude and purified ficin are used as medicine. purified ficin is also used in some medical procedures and in manufacturing.  crude ficin and purified ficin are used for infections of the intestines by parasites. purified ficin is also used for indigestion  but there is no good scientific evidence to support any of these uses. crude ficin can also be unsafe when used in large amounts.  in medical procedures  purified ficin is used in the production of stitching material (sutures)  in the preparation of animal arteries for implantation in people  and in blood typing.  in manufacturing  purified ficin is used in making cheese and sausage casings and chillproofing beer. ficin is sometimes included in meat tenderizers  usually in combination with papain and/or bromelain.,when taken by mouth: purified ficin is likely safe when used in food amounts. but there isn't enough reliable information to know if purified ficin is safe when used as a medicine. crude ficin (latex) is likely unsafe when taken by mouth at high doses. high doses of crude ficin can cause seizures  coma  and even death. there isn't enough reliable information to know if crude ficin is safe when taken by mouth in smaller doses.  when applied to the skin: crude ficin is likely unsafe when applied to the skin. it can cause bleeding and allergic reactions. there isn't enough reliable information to know if purified ficin is safe when applied to the skin.,when taken by mouth: purified ficin is likely safe when used in food amounts. but there isn't enough reliable information to know if purified ficin is safe when used as a medicine. crude ficin (latex) is likely unsafe when taken by mouth at high doses. high doses of crude ficin can cause seizures  coma  and even death. there isn't enough reliable information to know if crude ficin is safe when taken by mouth in smaller doses.  when applied to the skin: crude ficin is likely unsafe when applied to the skin. it can cause bleeding and allergic reactions. there isn't enough reliable information to know if purified ficin is safe when applied to the skin. pregnancy and breast-feeding: crude ficin is likely unsafe when taken by mouth or applied to the skin when pregnant or breastfeeding. stay on the safe side and avoid use.  children: crude ficin is likely unsafe when taken by mouth or applied to the skin in children. crude ficin can cause seizures  coma  or even death in children.,the appropriate dose of ficin depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for ficin. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Field Scabious,field scabious (knautia arvensis) is an herb. the parts that grow above the ground are used to make medicine.  some people use field scabious for cough  sore throat  wound healing  and various other purposes  but there is no good scientific evidence to support any use.,when taken by mouth: there isn't enough reliable information to know if field scabious is safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if field scabious is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if field scabious is safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if field scabious is safe or what the side effects might be.  pregnancy and breast-feeding: there isn't enough reliable information to know if field scabious is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,there isn't enough reliable information to know what an appropriate dose of field scabious might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Fig,fig (ficus carica) is a tree native to the mediterranean. it produces a popular fruit. the fruit  leaves  and root are also used to make medicine.  fig leaf and fruit contain chemicals that might help move food through the intestines better. it also contains chemicals that might help control blood sugar and cholesterol levels.  people use fig for constipation  diarrhea  diabetes  eczema  and many other conditions  but there is no good scientific evidence to support these uses.,when taken by mouth: fresh and dried fig fruit are commonly consumed in foods. fig fruit paste is possibly safe when used as medicine for up to 8 weeks. there isn't enough reliable information to know if fig leaf is safe or what the side effects might be.  when applied to the skin: fig leaf is possibly unsafe. it can cause the skin to become extra sensitive to the sun  leading to sunburn.,when taken by mouth: fresh and dried fig fruit are commonly consumed in foods. fig fruit paste is possibly safe when used as medicine for up to 8 weeks. there isn't enough reliable information to know if fig leaf is safe or what the side effects might be.  when applied to the skin: fig leaf is possibly unsafe. it can cause the skin to become extra sensitive to the sun  leading to sunburn.  pregnancy and breast-feeding: fresh and dried fig fruit are commonly consumed as foods. there isn't enough reliable information to know if fig is safe to use in larger amounts as medicine when pregnant or breast-feeding. stay on the safe side and stick to food amounts.  allergies. people who are sensitive to mulberry  natural rubber latex  or weeping fig might have allergic reactions to fig.  surgery: fig might lower blood sugar levels. this might interfere with blood sugar control during and after surgery. stop using fig as medicine at least 2 weeks before a scheduled surgery.,fresh and dried fig fruit are commonly eaten. as medicine  there isn’t enough reliable information to know what an appropriate dose of fig might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Figwort,figwort is an herb. the whole plant is used to make medicine.  figwort is most commonly used for skin conditions such as eczema (atopic dermatitis)  itching  hemorrhoids  acne  and many other conditions  but there is no good scientific evidence to support these uses.  some people use figwort as a substitute for devil's claw  because the two herbs contain similar chemicals.,when taken by mouth: there isn't enough reliable information to know if figwort is safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if figwort is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if figwort is safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if figwort is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if figwort is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  diabetes: figwort might affect blood sugar control. monitor your blood sugar levels carefully if you have diabetes and use figwort.  a heart condition called ventricular tachycardia: don't use figwort if you have this condition.,the appropriate dose of figwort depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for figwort. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Fireweed,fireweed is an herb. the parts of the plant that grow above ground are used to make medicine.  people use fireweed for migraine  the common cold  stomach ulcers  enlarged prostate (benign prostatic hyperplasia or bph)  wound healing  and many other conditions  but there is no good scientific evidence to support any of these uses.,when taken by mouth: there isn't enough reliable information to know if fireweed is safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if fireweed is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if fireweed is safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if fireweed is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if fireweed is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,the appropriate dose of fireweed depends on several factors such as the user's age  health  and several other conditions. at this time there is not enough scientific information to determine an appropriate range of doses for fireweed. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult your pharmacist or physician or other healthcare professional before using.
Fish Oil,fish oil comes from many types of fish. it is rich in two important omega-3 fatty acids called eicosapentaenoic acid (epa) and docosahexaenoic acid (dha).  the benefits of fish oil seem to come from its omega-3 fatty acid content. fish that are especially rich in these oils include mackerel  herring  tuna  and salmon. the body doesn't produce many of its own omega-3 fatty acids. omega-3 fatty acids reduce pain and swelling  and also prevent the blood from clotting easily.  some fish oil products are approved by the fda as prescription medications to lower triglycerides levels. fish oil is also available as a supplement. fish oil supplements do not contain the same amount of fish oil as prescription products  so they cannot be used in place of prescription products. fish oil supplements are sometimes used for heart health and mental health  but there is no strong evidence to support most of these uses.  do not confuse fish oil with epa  dha  cod liver oil  flaxseed oil  krill oil  or shark liver oil. see the separate listings for these topics.,when taken by mouth: fish oil is likely safe for most people in doses of 3 grams or less daily. taking more than 3 grams daily might increase the chance of bleeding. fish oil side effects include heartburn  loose stools  and nosebleeds. taking fish oil supplements with meals or freezing them can reduce these issues.  consuming high amounts of fish oil from dietary sources is possibly unsafe. some fish are contaminated with mercury and other chemicals. fish oil supplements typically do not contain these chemicals.  when applied to the skin: there isn't enough reliable information to know if fish oil is safe or what the side effects might be.,when taken by mouth: fish oil is likely safe for most people in doses of 3 grams or less daily. taking more than 3 grams daily might increase the chance of bleeding. fish oil side effects include heartburn  loose stools  and nosebleeds. taking fish oil supplements with meals or freezing them can reduce these issues.  consuming high amounts of fish oil from dietary sources is possibly unsafe. some fish are contaminated with mercury and other chemicals. fish oil supplements typically do not contain these chemicals.  when applied to the skin: there isn't enough reliable information to know if fish oil is safe or what the side effects might be. pregnancy and breast-feeding: fish oil supplements are likely safe when taken by mouth. taking fish oil does not seem to affect the fetus during pregnancy or the baby while breast-feeding. but swordfish  king mackerel  and tilefish should be avoided during pregnancy  by those who may become pregnant  and while breast-feeding. these fish might contain high levels of mercury and may contain other toxins. limit consumption of other fish to 12 ounces/week (about 3 to 4 servings/week). consuming fatty fish in high amounts is possibly unsafe.  children: fish oil supplements are possibly safe when taken by mouth. in adolescents  fish oil has been used safely in doses of up to about 2.2 grams daily for 12 weeks. but young children should not eat more than two ounces of fish per week. consuming fish oil from dietary sources in large amounts is possibly unsafe. fatty fish contain toxins such as mercury. eating contaminated fish frequently can cause serious adverse effects in children.  bipolar disorder: taking fish oil might increase some of the symptoms of this condition.  liver disease: fish oil might increase the risk of bleeding in people with liver scarring due to liver disease.  diabetes: taking high doses of fish oil might make it more difficult to control blood sugar levels.  familial adenomatous polyposis: there is some concern that fish oil might further increase the risk of getting cancer in people with this condition.  conditions in which the immune system response is lowered (including hiv/aids): higher doses of fish oil can lower the body's immune system response. this could be a problem for people whose immune system is already weak.  an implanted device to prevent irregular heartbeat: fish oil might increase the risk of irregular heartbeat in patients with an implanted defibrillator. stay on the safe side and avoid fish oil supplements.  fish or seafood allergy: some people who are allergic to seafood such as fish might also be allergic to fish oil supplements. there is no reliable information showing how likely people with seafood allergy are to have an allergic reaction to fish oil. until more is known  advise patients allergic to seafood to avoid or use fish oil supplements cautiously.,fish oil supplements have most often been used by adults in doses of up to 6 grams daily by mouth for up to 12 weeks. fish oil products typically provide 180-465 mg of epa and 120-375 mg of dha per capsule. fish oil is also available in prescription drugs  including lovaza  omtryg  and epanova. fish oil supplements cannot be used in place of fish oil prescription drugs. speak with a healthcare provider to find out what product and dose might be best for a specific condition.
