Supplement,Effectiveness,Description
Melatonin,Possibly Ineffective for,"Athletic performance. Taking melatonin by mouth shortly before resistance exercise or cycling doesn't appear to improve performance. Involuntary weight loss in people who are very ill (cachexia or wasting syndrome). Taking melatonin by mouth doesn't improve appetite, body weight, or body composition in people with wasting syndrome from cancer. Tiredness in people with cancer. Taking melatonin by mouth doesn't seem to improve tiredness in people with cancer. Pain in people with cancer. Taking melatonin by mouth doesn't seem to reduce pain in people with cancer. Critical illness (trauma). Taking melatonin by mouth doesn't seem to shorten hospital stay in people that are critically ill. Diseases, such as Alzheimer disease, that interfere with thinking (dementia). Taking melatonin by mouth doesn't improve behavior or affect symptoms in people with Alzheimer disease or other forms of memory loss. But it might reduce confusion when the sun goes down in people with these conditions. Inability to become pregnant within a year of trying to conceive (infertility). Taking melatonin by mouth doesn't seem to improve pregnancy rates in females undergoing fertility treatments. Sleep disorder due to rotating or night shifts (shift work disorder). Taking melatonin by mouth doesn't seem to improve sleeping problems in people who do shift work."
Melatonin,Likely InEffective for,"Withdrawal from drugs called benzodiazepines. Taking melatonin by mouth at bedtime doesn't reduce withdrawal symptoms in people with insomnia who have stopped taking these drugs. Depression. Taking melatonin by mouth doesn't seem to reduce symptoms of depression, and might make symptoms worse in some people."
Mentabolan [Fast Facts],,
Mercury Herb,Insufficient Evidence for,"Constipation. Disorders of the digestive tract. Disorders of the kidney, bladder, or urethra. Fluid retention. Infections. Swelling (inflammation). Other conditions."
Mesoglycan,Possibly Effective for,"Long-term blood flow problems in the brain (cerebrovascular diseases). Some research shows that taking mesoglycan by mouth for 6 months seems to improve quality of life in people with cerebrovascular disease. Narrowing of blood vessels that causes poor blood flow to the limbs (peripheral arterial disease). Some research shows that taking mesoglycan by mouth alone or in combination with mesoglycan given as a shot seems to improve walking distance in patients with leg pain due to peripheral arterial disease. However, taking mesoglycan by mouth seems to be less effective for improving walking distance than taking the drug defibrotide. Poor circulation that can lead to varicose veins and other conditions (venous insufficiency). There is some evidence that giving mesoglycan by mouth or as an injection for 1-3 months may improve the symptoms associated with various vein conditions, including varicose veins and swollen veins. Applying mesoglycan directly to the skin might also be helpful for treating leg ulcers in people with poor circulation. Leg sores caused by weak blood circulation (venous leg ulcer). Administering a combination of mesoglycan, given by mouth and as a shot, seems to boost the effectiveness of standard treatment for leg ulcers."
Mesoglycan,Possibly Ineffective for,Blood clots that form in the veins (venous thromboembolism or VTE). Taking mesoglycan by mouth along with using compression stockings after standard therapy does not seem to help prevent VTEs from recurring. Stroke. Taking mesoglycan in addition to injecting dexamethasone in the vein for 5 days after a stroke does not seem to improve outcomes any more than dexamethasone alone.
Mesoglycan,Insufficient Evidence for,"Hardening of the arteries (atherosclerosis). There is some early evidence that mesoglycan might slow the progression of atherosclerosis by keeping blood vessel walls from thickening. Poor circulation that can cause the legs to swell (chronic venous insufficiency or CVI). Early research shows that taking mesoglycan by mouth helps to reduce pain and swelling in people with swollen legs. Swelling (inflammation) of blood vessels in the skin (cutaneous necrotizing venulitis). Early research shows that mesoglycan given as a shot might be useful for treating some people with this condition. Vision problems in people with diabetes (diabetic retinopathy). Early research shows that taking mesoglycan by mouth helps to reduce damage to the eyes in people with diabetes. High blood pressure. Early research shows that taking mesoglycan by mouth might help to reduce blood pressure by a small amount in people with high blood pressure. High levels of fats called triglycerides in the blood (hypertriglyceridemia). Early research shows that taking mesoglycan by mouth might help to reduce levels of blood fats called triglycerides. A grouping of symptoms that increase the risk of diabetes, heart disease, and stroke (metabolic syndrome). Early research shows that taking mesoglycan by mouth might improve the health of blood vessels in people with this condition. Pain after surgery. Early research shows that taking mesoglycan for 35 days after hemorrhoid surgery might reduce pain and allow people to return to work sooner. Ringing in the ears (tinnitus). Some population research has found that taking mesoglycan by mouth might reduce ringing in the ears in people with tinnitus. Dizziness (vertigo). Some population research has found that taking mesoglycan by mouth might reduce dizziness in people with vertigo. Hemorrhoids. Other conditions."
Methasterone [Fast Facts],,
Methionine,Possibly Effective for,Birth defects of the brain and spine (neural tube birth defects). Eating more methionine during pregnancy seems to lower the risk of these birth defects.
Methoxydienone - [Fast Facts],,
Methoxylated Flavones,Insufficient Evidence for,Poor circulation that can cause the legs to swell (chronic venous insufficiency or CVI). Varicose veins. Heart disease. High cholesterol. Cataracts. Cancer. Other conditions.
Methyldiazinol - [Fast Facts],,
Methylstenbolone,,
Methylsulfonylmethane (Msm),Possibly Effective for,"Osteoarthritis. Taking MSM by mouth, alone or together with other ingredients such as glucosamine, can slightly reduce pain and swelling and improve function in people with osteoarthritis."
Methylsulfonylmethane (Msm),Possibly Ineffective for,Poor circulation that can cause the legs to swell (chronic venous insufficiency or CVI). Applying MSM and EDTA to the skin can reduce swelling in people with CVI. But applying MSM alone seems to make swelling worse.
Methylsynephrine,Insufficient Evidence for,A stronger heart during surgery. Asthma. Athletic performance. Cough. Increased energy. Low blood pressure. Muscle mass. Weight loss. Other uses.
Mezereon,,
Milk Thistle,Possibly Effective for,Diabetes. Taking milk thistle extracts 210-600 mg daily seems to reduce blood sugar in people with diabetes. Taking milk thistle extract with tree turmeric extract also seems to reduce blood glucose levels in people with diabetes.
Milk Thistle,Insufficient Evidence for,"Acne. Taking milk thistle might lessen acne severity. But the benefits, if any, are small. Liver disease in people who drink alcohol. There is conflicting evidence about the effectiveness of milk thistle for treating alcohol-related liver disease. Early research shows that taking milk thistle by mouth might improve liver function and reduce risk of death. However, other research shows no benefit. Mushroom poisoning. Early research shows that giving silibinin, a chemical found in milk thistle may lessen liver damage caused by Amanita phalloides mushroom (death cap mushroom) poisoning. However, it is hard to obtain silibinin in the US. A blood disorder that reduces levels of protein in the blood called hemoglobin (beta-thalassemia). Early research in children with this blood disorder shows that taking a specific milk thistle extract for 6-9 months, along with conventional medicine, might decrease iron levels better than conventional medicine alone. An adverse skin reaction caused by cancer drug treatment (chemotherapy-induced acral erythema). Early research shows that applying a gel containing milk thistle extract to the hands and feet beginning on the first day of chemotherapy and continuing for 9 weeks decreases the severity of this skin reaction caused by a cancer drug called capecitabine. Liver damage caused by cancer drugs. Early research shows that taking a specific milk thistle product containing the chemical silibinin beginning at the start of chemotherapy treatment does not significantly reduce liver toxicity caused by chemotherapy. Kidney damage caused by cancer drugs. Early research shows that taking milk thistle extract beginning 24-48 hours before starting therapy with cisplatin, and continuing until the end of the treatment course, does not prevent or decrease the rates of kidney injury. Liver scarring (cirrhosis). Early research shows that milk thistle extract might reduce the risk of death and improve liver function in people with cirrhosis. However, milk thistle extract does not seem to benefit all patients with liver disease. Kidney disease in people with diabetes (diabetic nephropathy). Early research shows that taking milk thistle extract together with conventional treatment might help treat kidney disease in people with diabetes. Hay fever. Some research shows that taking milk thistle extract by mouth along with the allergy medication cetirizine (Zyrtec) reduces seasonal allergies more than taking cetirizine alone. Swelling (inflammation) of the liver (hepatitis). Research on the effects of milk thistle in people with hepatitis is not consistent. Some research shows that taking milk thistle extract by mouth for 4 weeks reduces hepatitis symptoms, such as dark urine and jaundice, but does not improve liver function tests. But taking a product containing the milk thistle constituent silybin plus phosphatidylcholine by mouth for 2 weeks to 3 months might improve some liver function tests. Swelling (inflammation) of the liver caused by the hepatitis B virus (hepatitis B). Research on the effects of milk thistle in people with hepatitis B is not consistent. Early research shows that taking milk thistle extract by mouth for up to one year, or taking a product containing the milk thistle constituent silybin plus phosphatidylcholine by mouth for 1 week, improves liver function tests. But other research shows no benefit. Swelling (inflammation) of the liver caused by the hepatitis C virus (hepatitis C). Research on the effects of milk thistle in people with hepatitis C is inconsistent. Early research shows that taking milk thistle extract by mouth for up to one year, or taking a product containing the milk thistle constituent silybin plus phosphatidylcholine by mouth for 1 week, improves liver function tests. But other research shows no benefit. High levels of lipoproteins in the blood (hyperlipoproteinemia). Taking milk thistle doesn't seem to lower lipid levels in the blood in people with high levels due to liver disease. Liver damage caused by low oxygen levels. Early research shows that taking milk thistle extract might reduce liver damage caused by low levels of oxygen in the blood. Inability to become pregnant within a year of trying to conceive (infertility). Early research shows that taking milk thistle extract along with fertility hormones might provide some benefits for people undergoing in vitro fertilization due to male infertility. Breast feeding. Early research shows that taking milk thistle extract for 4 weeks does not increase milk production in mothers of premature infants. Symptoms of menopause. Early research suggests that milk thistle reduces menopausal symptoms such as hot flashes. Build-up of fat in the liver in people who drink little or no alcohol (nonalcoholic fatty liver disease or NAFLD). There is evidence that milk thistle extract improves markers of liver injury in people with NAFLD. But these markers aren't always linked with the NAFLD severity. Most experts recommend that people with NAFLD lose weight to reduce fat build-up in the liver and lower their cholesterol to reduce the risk of heart disease. Taking milk thistle does not seem to improve either of these outcomes. Swelling (inflammation) and build up of fat in the liver in people who drink little or no alcohol (nonalcoholic steatohepatitis or NASH). While taking milk thistle doesn't seem to improve the overall severity of NASH, it may reduce scarring of the liver. A type of anxiety marked by recurrent thoughts and repetitive behaviors (obsessive-compulsive disorder or OCD). Early research shows that taking milk thistle leaf extract by mouth three times daily for 8 weeks has a limited effect on OCD symptoms. It does not appear to more beneficial than conventional medication. Skin toxicity caused by radiation. Early research shows that applying a specific product containing milk thistle extract reduces the effect of radiation on the skin in people being treated for breast cancer. Inflammation and ulcers (mucositis) caused by radiation. Early research shows that taking milk thistle extract starting on the first day of radiation and continuing for 6 weeks thereafter decreases the severity of ulcers in the mouth and gut caused by radiation. Liver damage caused by chemicals. The effect of milk thistle on liver damage caused by chemicals is inconsistent. Taking milk thistle by mouth helps the liver to function in people who have been exposed to the chemicals toluene or xylene. It also seems to help the liver in people who take isotretinoin for acne or drugs for tuberculosis. But taking milk thistle extract by mouth does not seem to prevent liver damage associated with the drug tacrine (Cognex) in people with Alzheimer's disease. Hair pulling (trichotillomania). Early research shows that milk thistle taken for 6 weeks does not reduce the symptoms of hair pulling. A type of inflammatory bowel disease (ulcerative colitis). Early research shows that taking milk thistle extract by mouth for 6 months, in addition to standard medications, decreases the symptoms of ulcerative colitis and helps maintain remission. A skin disorder that causes white patches to develop on the skin (vitiligo). Early research shows that taking the milk thistle constituent silymarin along with phototherapy for 3 months is no better than phototherapy alone for improving vitiligo severity. Alzheimer disease. Enlarged prostate (benign prostatic hyperplasia or BPH). High cholesterol. Indigestion (dyspepsia). Kidney damage caused by contrast dyes (contrast induced nephropathy). Multiple sclerosis (MS). Parkinson disease. Prostate cancer. Other conditions."
Miracle Fruit,,
Molybdenum,Likely Effective for,Molybdenum deficiency. Taking molybdenum by mouth helps prevent and treat molybdenum deficiency. But molybdenum deficiency is very rare.
Moneywort,Insufficient Evidence for,"Diarrhea. Increasing saliva. Loosening mucus (as an expectorant). Skin problems such as atopic dermatitis (eczema), when applied to the skin. Killing bacteria, when applied to the skin. Other conditions."
Monolaurin,Insufficient Evidence for,Overgrowth of bacteria in the vagina. Chronic fatigue syndrome (CFS). Common cold. Flu (influenza). Shingles (herpes zoster). Strengthening the immune system. Other conditions.
Monterey Pine,,
Moringa,Insufficient Evidence for,"Asthma. Early research shows that taking 3 grams of moringa twice daily for 3 weeks reduces the severity of asthma symptoms and improves lung function in adults with mild to moderate asthma. Diabetes. The effect of moringa on diabetes control is unclear. Some early research shows that taking moringa tablets along with a type medicine called sulfonylureas does not improve blood sugar control as measured by hemoglobin A1C levels. But it does seem to reduce fasting and post-meal blood sugar levels compared to taking sulfonylureas alone in people with diabetes. Other research also shows that ttaking moringa drumstick leaves with meals might also reduce post-meal blood sugar levels in people with diabetes not taking medications for diabetes. HIV/AIDS. Early research shows that taking moringa leaf powder with each meal for 6 months might increase body mass index (BMI) but does not appear to improve immune function. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). The effect of moringa on lowering cholesterol levels is not clear. Early research of poor quality shows mixed results. Additional research is needed. Breast-feeding. Research regarding the effects of moringa for increasing breast milk production is mixed. Some early research shows that moringa increases milk production after one week of use, while other early research shows no benefit. It's also not clear if moringa is beneficial when used for longer periods of time. A condition caused by a poor diet or the body's inability to absorb nutrients. Early research shows that adding moringa powder to food for 2 months helps improve weight in malnourished children. Symptoms of menopause. Early research shows that adding fresh moringa leaves to food for 3 months improves menopausal symptoms such as hot flashes and sleeping problems in healthy, postmenopausal women. Vitamin A deficiency. Early research shows that adding moringa powder to infant cereal doesn't improve vitamin A levels in infants with low levels of vitamin A. A mild form of gum disease (gingivitis). Athlete's foot (Tinea pedis). Birth control. Cancer. Certain infections (opportunistic infections) in people with HIV/AIDS. Constipation. Dandruff. Diarrhea. Headache. Heart disease. Heart failure and fluid build up in the body (congestive heart failure or CHF). High blood pressure. Increasing sexual desire in healthy people. Infection of the intestines by parasites. Kidney stones. Low levels of red blood cells in people with a long-term illness. Obesity. Osteoarthritis. Overactive thyroid (hyperthyroidism). Seizure disorder (epilepsy). Skin infections. Snakebites. Stomach ulcers. Swelling (inflammation) of the stomach (gastritis). Warts. Wound healing. Other conditions."
Mormon Tea,Insufficient Evidence for,Colds. Kidney problems. Sexually transmitted diseases such as syphilis and gonorrhea. Other conditions.
Motherwort,Possibly Effective for,"Bleeding. Injecting motherwort into the muscle or uterus might help reduce bleeding from childbirth, caesarian section (c-section), and abortion surgery. But higher quality research is needed to confirm this."
Mountain Ash,Insufficient Evidence for,Diabetes. Diarrhea. Gout. Hardening of the arteries. Heart disease. Long-term kidney disease (chronic kidney disease or CKD). Menstrual cramps (dysmenorrhea) Osteoarthritis. Premenstrual syndrome (PMS). Swelling (inflammation) and sores inside the mouth (oral mucositis). Vitamin C deficiency. Other conditions.
Mountain Flax,Insufficient Evidence for,Causing vomiting. Constipation. Other conditions.
Mountain Laurel,Insufficient Evidence for,Ringworm of the scalp (tinea capitis). Psoriasis. Herpes. Syphilis. Other conditions.
Mouse-Ear Hawkweed,,
Mugwort,,
Muira Puama,Insufficient Evidence for,Athletic performance. Brain and nerve disorders. Erectile dysfunction (ED). Indigestion (dyspepsia). Joint pain. Loss of appetite. Menstrual disorders. Sexual problems that prevent satisfaction during sexual activity. Other conditions.
Mullein,,
Musk,Insufficient Evidence for,Stroke. Coma. Nerve problems. Convulsions. Heart and circulation problems. Injuries. Tumors. Other conditions.
Myrcia,Insufficient Evidence for,Diabetes. Early research shows that drinking an herbal tea containing Myrcia uniflora does not improve blood sugar or insulin levels in people with or without diabetes. Diarrhea. Bloody diarrhea. Inflamed intestines. Bleeding. High blood pressure. Mouth ulcers. Other conditions.
Myrrh,Likely InEffective for,A disease caused by parasitic worms (schistosomiasis). Taking myrrh by mouth does not help treat this infection in adults or children.
Myrtle,,
"N,N-Dimethylphenethylamine (N,N-Dmpea)",Insufficient Evidence for,"Dry eye. Early research suggests that using N,N-DMPEA eye drops can improve the composition of tears in people with dry eyes. Athletic performance. Obesity. Other conditions."
N-Acetyl Cysteine (Nac),Effective for,Acetaminophen (Tylenol) poisoning. Taking prescription N-acetyl cysteine by mouth or by IV reduces the death rate and prevents permanent harm caused by acetaminophen poisoning. Prescription products must be given by a healthcare provider. Complete or partial lung collapse (atelectasis). Inhaling a prescription form of N-acetyl cysteine helps treat collapsed lungs caused by mucus blockage. Prescription products must be given by a healthcare provider. Lung tests. Inhaling a prescription form of N-acetyl cysteine is helpful to prepare people for diagnostic lung tests. Prescription products must be given by a healthcare provider. Care of people with a tube placed in their windpipe (tracheostomy care). Inhaling a prescription form of N-acetyl cysteine helps prevent crusting in people with a tube in the windpipe. Prescription products must be given by a healthcare provider.
N-Acetyl Cysteine (Nac),Possibly Effective for,"Chest pain (angina). Taking N-acetyl cysteine by mouth or by IV seems to improve chest pain when used with the drug nitroglycerin. Taking N-acetyl cysteine by IV also seems to help prevent nitroglycerin tolerance, but it might increase the risk for headaches and low blood pressure. IV products can only be given by a healthcare provider. Autism. Taking N-acetyl cysteine by mouth might improve irritability in children and adolescents with autism. But it doesn't seem to help other autism symptoms. Swelling (inflammation) of the main airways in the lung (bronchitis). Taking N-acetyl cysteine by mouth seems to reduce shortness of breath and coughing from this condition. Also, taking N-acetyl cysteine by mouth for 3-36 months seems to prevent flare-ups. A lung disease that makes it harder to breathe (chronic obstructive pulmonary disease or COPD). Taking N-acetyl cysteine by mouth for at least 6 months seems to decrease flare-ups by about 40% in people with moderate to severe COPD. It seems to work best in people who are not already taking corticosteroids. In people with COPD who need to be hospitalized, taking N-acetyl cysteine in addition to regular treatment helps with recovery. Kidney damage caused by contrast dyes (contrast induced nephropathy). Taking N-acetyl cysteine by mouth, with or without other drugs, might help to prevent kidney problems caused by dyes used during some X-ray exams. But it only seems to help in people who already have poor kidney function. High levels of homocysteine in the blood (hyperhomocysteinemia). Taking N-acetyl cysteine by mouth seems to reduce homocysteine levels, a possible risk factor for heart disease. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Taking N-acetyl cysteine by mouth seems to reduce levels of a blood fat called lipoprotein(a) in people with high levels of this blood fat. Toxicity in people taking the cancer drug ifosfamide (Ifex). Taking N-acetyl cysteine by mouth seems to help prevent side effects of the cancer drug ifosfamide. But a drug called mesna seems to work better than N-acetyl cysteine. Flu (influenza). Taking N-acetyl cysteine by mouth seems to reduce flu symptoms. Kidney failure. Taking N-acetyl cysteine by mouth seems to help prevent problems such as heart attack and stroke in people with kidney failure. Heart attack. Giving N-acetyl cysteine by IV along with the drug nitroglycerin seems to help maintain heart function and reduce heart damage in people having a heart attack. Sometimes the drug streptokinase is also used along with N-acetyl cysteine and nitroglycerin. IV products can only be given by a healthcare provider."
N-Acetyl Cysteine (Nac),Possibly Ineffective for,"Lou Gehrig's disease (amyotrophic lateral sclerosis or ALS). Taking N-acetyl cysteine by IV doesn't seem to improve ALS symptoms. IV products can only be given by a healthcare provider. Heart damage caused by certain cancer drugs (anthracycline cardiotoxicity). Taking N-acetyl cysteine by mouth doesn't seem to prevent or treat heart damage caused by doxorubicin. A lung disease that affects newborns (bronchopulmonary dysplasia). Giving N-acetyl cysteine through a hole in the windpipe does not seem to prevent breathing problems in premature infants. This can only be given by a healthcare provider. Cannabis use disorder. Taking N-acetyl cysteine by mouth doesn't seem to improve depression or help reduce cannabis use in teens and adults with cannabis use disorder. Cystic fibrosis. Taking N-acetyl cysteine by mouth or inhaling it doesn't seem to improve lung function in people with cystic fibrosis. An inherited disorder marked by sensitivity to light (erythropoietic protoporphyria or EPP). Taking N-acetyl cysteine by mouth doesn't seem to reduce light sensitivity in people with EPP. A digestive tract infection that can lead to ulcers (Helicobacter pylori or H. pylori). Taking N-acetyl cysteine by mouth along with usual treatments for H. pylori infection doesn't help eliminate the infection any better than usual treatment. Swelling (inflammation) of the liver (hepatitis). Taking N-acetyl cysteine by mouth doesn't seem to help treat viral hepatitis. It also doesn't seem to improve response to interferon therapy in people with hepatitis C. But it might help prevent relapses in people with hepatitis C. HIV/AIDS. Taking N-acetyl cysteine by mouth doesn't seem to improve immune function or reduce the amount of virus in the body in most people with HIV. Low blood pressure. Taking N-acetyl cysteine by mouth doesn't seem to reduce the risk of kidney failure in people with long-term low blood pressure. Inability to become pregnant within a year of trying to conceive (infertility). Taking N-acetyl cysteine by mouth doesn't seem to improve pregnancy rate or miscarriage rate in females with fertility problems. Liver transplant. Giving N-acetyl cysteine by IV during liver donor surgery doesn't seem to prevent transplant rejection in liver transplant recipients. IV products can only be given by a healthcare provider. Swelling (inflammation) of the pancreas (pancreatitis). Taking N-acetyl cysteine by mouth doesn't prevent pancreatitis in people having a certain procedure that can cause pancreas swelling. Also, taking N-acetyl cysteine by IV along with selenium and vitamin C doesn't seem to improve pancreas function in people with serious pancreatitis. IV products can only be given by a healthcare provider. Recovery after surgery. Taking N-acetyl cysteine by mouth or by IV doesn't seem to reduce the risk of heart attack, stroke, kidney injury, or death after heart surgery. IV products can only be given by a healthcare provider."
N-Acetyl Cysteine (Nac),Likely InEffective for,Head and neck cancer. Taking N-acetyl cysteine by mouth doesn't prevent new tumors or improve survival in people with head and neck cancer. Lung cancer. Taking N-acetyl cysteine by mouth doesn't prevent new tumors or improve survival in people with lung cancer. Multiple organ failure. Giving N-acetyl cysteine by IV might increase the risk of death in people with multiple organ failure. IV products can only be given by a healthcare provider.
N-Methyltyramine,Insufficient Evidence for,Athletic performance. Weight loss. Improved focus. Other uses.
Nadh,Possibly Effective for,"Chronic fatigue syndrome (CFS). Taking NADH by mouth, alone or together with coenzyme Q10, might somewhat reduce symptoms of CFS."
Nasturtium,Insufficient Evidence for,"Infection of the airways. Early research shows that taking a specific product containing horseradish root and nasturtium might make infections of the airway happen less often. Infections of the kidney, bladder, or urethra (urinary tract infections or UTIs). Early research shows that taking a specific product containing horseradish root and nasturtium might help to prevent recurring UTIs. Cough. Bronchitis. Mild muscle pain, when applied directly to the skin. Other conditions."
Nattokinase,,
Neem,Possibly Effective for,Tooth plaque. Applying a gel containing neem leaf extract to the teeth or using a neem mouthwash can reduce the amount of plaque on the teeth. But it is not clear if neem is as helpful as using chlorhexidine mouthwash or gel. A mild form of gum disease (gingivitis). Applying a gel containing neem leaf extract to the teeth or using a neem mouthwash can reduce gingivitis in some people. But it is not clear if neem is as helpful as using chlorhexidine mouthwash or gel. Lice. Applying a neem extract shampoo to the scalp once can treat head lice in children.
Nerve Root,Insufficient Evidence for,A type of anxiety marked by episodes of intense fear (panic disorder). A type of persistent anxiety marked by exaggerated worry and tension (generalized anxiety disorder or GAD). Abnormally heavy bleeding during menstrual periods (menorrhagia). Anxiety. Diarrhea. Emotional distressed caused by extreme focus on a physical symptom (somatic symptom disorder). Insomnia. Itching of the vagina. Multiple sclerosis (MS). Stress. Other conditions.
New Jersey Tea,,
New Zealand Green-Lipped Mussel,,
Niacin And Niacinamide (Vitamin B3),Likely Effective for,Abnormal levels of cholesterol or blood fats (dyslipidemia). Taking niacin prescription products by mouth in doses of 500 mg or more improves cholesterol levels in people with abnormal cholesterol. Dietary supplement forms of niacin usually come in lower doses and don't seem to improve blood fat levels. A disease caused by niacin deficiency (pellagra). Niacin prescription products are US FDA approved for preventing and treating pellagra.
Niacin And Niacinamide (Vitamin B3),Possibly Effective for,"Abnormal levels of blood fats in people with HIV/AIDS. Taking prescription niacin products by mouth seems to improve levels of cholesterol and blood fats called triglycerides in people with this condition. It is unclear if niacin supplements are helpful. A grouping of symptoms that increase the risk of diabetes, heart disease, and stroke (metabolic syndrome). Taking prescription niacin products by mouth seems to increase levels of high-density lipoprotein (HDL or ""good"") cholesterol and reduce levels of blood fats called triglycerides in people with metabolic syndrome. It is unclear if niacin supplements are helpful."
Niacinamide,Likely Effective for,"A disease cause by niacin deficiency (pellagra). Niacinamide prescription products are US FDA approved for preventing and treating pellagra. It's sometimes preferred over niacin because it doesn't cause flushing, a side effect of niacin treatment."
Niacinamide,Possibly Effective for,"Acne. Applying a cream containing niacinamide seems to improve the appearance of skin in people with acne. Diabetes. Taking niacinamide by mouth might help slow the progression of type 1 diabetes. But it doesn't seem to prevent diabetes. High levels of phosphate in the blood (hyperphosphatemia). In people who need hemodialysis due to kidney failure and have high levels of phosphate, taking niacinamide by mouth seems to help decrease phosphate levels. Nonmelanoma skin cancer. Taking niacinamide by mouth seems to help prevent new skin cancer or precancerous spots from forming in people with a history of nonmelanoma skin cancer. Osteoarthritis. Taking niacinamide by mouth seems to improve joint flexibility and reduce pain and swelling in people with osteoarthritis."
Niacinamide,Possibly Ineffective for,Brain tumor. Taking niacinamide by mouth while undergoing chemotherapy doesn't seem to benefit people with brain tumors.
Niauli Oil,Insufficient Evidence for,Cough. Bronchitis. Swelling (inflammation) of the airways. Other conditions.
Nickel,Likely Effective for,Preventing nickel levels in the body from getting too low (nickel deficiency). Taking trace amounts of nickel by mouth in a supplement is effective for preventing nickel deficiency.
Nicotinamide Riboside,,
Nikko Maple,,
Noni,,
Northern Prickly Ash,,
Norway Spruce,,
Nutmeg And Mace,,
Nux Vomica,Insufficient Evidence for,"Nerve damage in the hands and feet caused by cancer drug treatment. Very early research suggests that taking nux vomica, short-term, might slightly improve nerve pain in the hands and feet. But taking nux vomica can be unsafe. Anxiety. Cancer. Constipation. Depression. Erectile dysfunction (ED). Flu (influenza). Heart and blood system disorders. Limb paralysis. Migraine. Painful response to cold especially in the fingers and toes (Raynaud syndrome). Pink eye and other eye diseases. Rheumatoid arthritis. Stimulating the appetite. Swelling (inflammation) of the stomach (gastritis). Symptoms of menopause. Other conditions."
Oak Moss,,
Oats,Likely Effective for,"Heart disease. Oats contain fiber. Eating a diet high in fiber, such as 3.6 grams of oats daily, reduces the risk for heart disease. High cholesterol. Eating oats, oat bran, and other soluble fibers can somewhat reduce total and low-density lipoprotein (LDL or ""bad"") cholesterol when consumed as part of a diet low in saturated fat."
Oats,Possibly Effective for,"Diabetes. Eating a diet rich in whole grains, including oats and oat bran, might help prevent diabetes. It might also help improve blood sugar control and lower cholesterol levels in people with diabetes. Stomach cancer. Eating high-fiber foods, such as oats and oat bran, seems to lower the risk of stomach cancer."
Oats,Possibly Ineffective for,"Colon cancer, rectal cancer. Regularly eating oat bran or oats doesn't seem to lower the risk of colon or rectal cancer."
Octacosanol,,
Octopamine,Insufficient Evidence for,Athletic performance. Early research shows that taking octopamine does not help active men to exercise longer or feel less tired. Weight loss. As a stimulant. Other uses.
Oleander,,
Oleic Acid,Possibly Effective for,"Heart disease. Using cooking oils that provide about 20 grams (1.5 tablespoons) of oleic acid in place of dietary fats with higher amounts of saturated fat might reduce the risk of heart disease. But research is limited. High cholesterol. Using cooking oils rich in oleic acid might help lower cholesterol. These oils include olive oil, some sunflower oils, and canola oil."
Oleic Acid,Insufficient Evidence for,"Bladder cancer. People with higher blood levels of oleic acid seem to have a lower risk of bladder cancer. But the amount of oleic acid in the blood can be affected by more than just intake from foods. So, it's still unclear if increasing intake of oleic acid from food reduces bladder cancer risk. It's also unknown if oleic acid supplements can help prevent bladder cancer. Breast cancer. Eating more foods that contain oleic acid doesn't seem to prevent breast cancer. It's unknown if oleic acid supplements can help prevent bladder cancer. Diabetes. Following a low-fat diet that includes food with oleic acid doesn't seem to lower cholesterol in people with diabetes. Diarrhea. Taking oleic acid might reduce the number of bowel movements in some people with diarrhea. But more research is needed. High blood pressure. Eating oil high in oleic acid might not help to lower high blood pressure. But more research is needed. Obesity. Some early research shows that using cooking oil containing oleic acid reduces fat around the abdomen by a small amount in people who are obese. It also seems to help to lower cholesterol in some people who are obese and at risk for heart disease. But using similar cooking oils without oleic acid also seem to have benefit. So, it's unclear if the oleic acid causes these improvements. Pancreatic cancer. People who get more oleic acid from their diet may have a lower risk of pancreatic cancer. But not all research agrees. Poor nutrient absorption that occurs when part of the small intestine is missing or removed (short bowel syndrome). Early research shows that taking oleic acid doesn't reduce diarrhea or help with nutrient absorption in people with short bowel syndrome. Stroke. People with higher blood levels of oleic acid seem to have a lower risk of stroke. But the amount of oleic acid in the blood can be affected by more than just intake from foods. So, it's still unclear if increasing intake of oleic acid from food reduces stroke risk. It's also unknown if oleic acid supplements can help prevent bladder cancer. A type of inflammatory bowel disease (ulcerative colitis). People who get more oleic acid from their diet might have a lower risk of ulcerative colitis. But not all research agrees. Rapid gastric emptying (dumping syndrome). Build up of fat in the liver in people who drink little or no alcohol (nonalcoholic fatty liver disease or NAFLD)."
Olive,,
Olive Oil,Possibly Effective for,Breast cancer. Consuming more olive oil in the diet seems to be linked with a lower risk of developing breast cancer. Heart disease. People who cook using olive oil seem to have a lower risk of heart disease and lower risk of first heart attack compared to those who cook with other oils. But it's unclear if higher dietary intake of olive oil helps people who already have heart disease. Constipation. Taking olive oil by mouth can help soften stools in people with constipation. It is unclear if applying olive oil to the skin or giving olive oil as an enema (rectally) is beneficial. Diabetes. People who eat higher amounts of olive oil in the diet seem to have a lower risk of developing diabetes. Consuming olive oil might also improve blood sugar control in people with diabetes. High blood pressure. Adding high amounts of extra virgin olive oil to the diet over 6 months while taking prescription drugs for high blood pressure can improve blood pressure in people with high blood pressure.
